BQY,2020001,,
CJC,2020002,,
CJM,2020003,,
CL,2020004,,红色为无法上传
FS,2020005,,
GMW,2020006,,
GX,2020007,,
GY,2020008,,
HHC,2020009,,
JLG,2020010,,
JZ,2020011,,
KHH,2020012,,
LGF,2020013,,
LGJ,2020014,,
LGM,2020015,,
LR,2020016,,
LRS,2020017,,
LY,2020018,,
LYL,2020019,,
PBF,2020020,,已添加至此行
QCY,2020021,,
QF,2020022,,
QSP,2020023,,
SHD,2020024,,
SHG,2020025,,
SHT,2020026,,
SSX,2020027,,
TJP,2020028,,
TY,2020029,,
WC,2020030,,
WH,2020031,,
WJL,2020032,,
WJX1,2020033,,
WJX2,2020034,,
WSJ,2020035,,
WSL,2020036,,
WX,2020037,,
WY,2020038,,
WYF,2020039,,
WZ,2020040,,
WZW,2020041,,
XJ,2020042,,
XY,2020043,,
XYX,2020044,,
YQD,2020045,,
YQQ,2020046,,
YYH,2020047,,
ZHR,2020048,,
ZJC,2020049,,
ZLX,2020050,,
ZM,2020051,,
ZSQ,2020052,,
ZT,2020053,,
ZTJ,2020054,,
ZTT,2020055,,
ZX,2020056,,
ZXY,2020057,,
ZY,2020058,,
ZYC,2020059,,
ZYH1,2020060,,
ZYH2,2020061,,
ZYS,2020062,,
ZZ,2020063,,
